DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-02-15,28.36,28.88,28.16,28.85,23.39
2023-02-14,28.38,28.72,27.99,28.64,27.93
2023-02-13,27.87,28.55,27.715,28.55,32.35
2023-02-10,27.63,27.99,27.335,27.80,31.23
2023-02-09,28.68,28.82,27.565,27.73,43.91
2023-02-08,28.95,29.12,28.21,28.24,36.48
2023-02-07,28.65,29.27,28.43,29.05,50.78
2023-02-06,29.55,29.65,28.61,28.69,48.73
2023-02-03,29.263,30.795,29.175,29.955,57.60
2023-02-02,28.898,29.935,28.448,29.827,62.23
2023-02-01,27.554,29.076,27.347,28.72,63.33
2023-01-31,27.446,27.949,27.199,27.92,52.62
2023-01-30,27.381,28.167,27.337,27.614,55.15
2023-01-27,26.744,27.90,26.458,27.821,148.55
2023-01-26,29.698,29.748,28.977,29.728,56.09
2023-01-25,29.165,29.525,28.819,29.343,28.27
2023-01-24,29.58,29.827,29.372,29.56,24.86
2023-01-23,28.972,30.123,28.829,29.906,38.80
2023-01-20,28.078,28.878,27.91,28.868,35.16
2023-01-19,28.266,28.409,27.90,28.078,36.89
2023-01-18,29.441,29.461,28.285,28.463,44.20
2023-01-17,29.817,29.892,29.165,29.244,34.76
2023-01-13,29.609,29.807,29.451,29.748,31.36
2023-01-12,29.619,30.014,29.115,29.925,28.96
2023-01-11,29.323,29.52,28.651,29.491,30.38
2023-01-10,28.883,29.155,28.567,29.086,23.01
2023-01-09,28.493,29.506,28.493,28.957,37.49
2023-01-06,27.594,28.483,27.05,28.384,31.79
2023-01-05,27.105,27.445,27.05,27.228,33.55
2023-01-04,27.08,27.584,26.833,27.347,37.67
2023-01-03,26.719,26.744,26.053,26.408,31.31
2022-12-30,25.59,26.142,25.489,26.112,31.03
2022-12-29,25.46,25.974,25.44,25.895,30.94
2022-12-28,25.529,25.801,25.193,25.233,26.18
2022-12-27,25.534,25.786,25.341,25.628,29.55
2022-12-23,25.608,25.875,25.374,25.776,23.60
2022-12-22,26.132,26.134,25.045,25.657,47.48
2022-12-21,26.27,26.645,26.26,26.507,28.10
2022-12-20,26.216,26.547,26.102,26.122,31.86
2022-12-19,26.576,26.645,26.181,26.468,37.66
2022-12-16,26.675,26.808,26.134,26.596,81.10
2022-12-15,27.604,27.663,26.794,26.823,45.68
2022-12-14,28.167,28.77,27.673,27.92,37.14
2022-12-13,29.431,29.728,28.029,28.384,58.55
2022-12-12,27.791,28.364,27.523,28.345,35.12
2022-12-09,28.048,28.434,27.851,27.90,25.64
2022-12-08,27.979,28.256,27.727,28.098,28.49
2022-12-07,27.94,28.206,27.811,27.989,28.24
2022-12-06,28.839,28.957,28.002,28.256,27.70
2022-12-05,29.066,29.392,28.542,28.819,34.04
2022-12-02,28.819,29.076,28.364,29.056,31.55
2022-12-01,29.876,30.113,29.165,29.471,38.90
2022-11-30,28.424,29.718,27.88,29.708,72.07
2022-11-29,28.503,28.829,28.394,28.552,24.36
2022-11-28,28.75,28.839,28.196,28.379,28.28
2022-11-25,29.323,29.323,28.982,28.987,11.31
2022-11-23,29.372,29.718,29.135,29.313,23.14
2022-11-22,28.784,29.501,28.706,29.461,25.58
2022-11-21,29.303,29.357,28.562,28.592,36.09
2022-11-18,29.896,29.896,29.254,29.51,27.12
2022-11-17,28.715,29.59,28.651,29.53,31.99
2022-11-16,29.748,29.866,29.086,29.175,35.58
2022-11-15,30.721,30.958,29.802,30.34,40.93
2022-11-14,29.975,30.617,29.817,29.985,39.40
2022-11-11,28.577,30.261,28.523,30.064,49.83
2022-11-10,28.532,29.471,28.30,29.402,62.94
2022-11-09,27.88,27.959,27.189,27.189,30.54
2022-11-08,28.409,28.602,27.594,28.137,36.26
2022-11-07,28.019,28.122,27.554,28.068,34.39
2022-11-04,27.238,27.895,27.08,27.861,43.05
2022-11-03,26.758,27.177,26.485,26.70,39.68
2022-11-02,27.558,28.123,26.719,26.729,51.96
2022-11-01,28.074,28.123,27.187,27.587,44.42
2022-10-31,28.347,28.445,27.343,27.714,59.51
2022-10-28,27.465,28.482,27.158,28.337,91.70
2022-10-27,26.758,26.895,25.471,25.608,53.29
2022-10-26,26.505,27.099,26.31,26.524,37.15
2022-10-25,26.495,26.861,26.32,26.719,32.21
2022-10-24,26.076,26.787,25.852,26.495,43.83
2022-10-21,25.199,26.368,25.14,26.29,53.06
2022-10-20,25.491,26.271,25.291,25.423,33.25
2022-10-19,25.086,25.588,25.043,25.345,33.88
2022-10-18,26.066,26.276,24.896,25.218,51.13
2022-10-17,25.647,26.076,25.512,25.754,39.42
2022-10-14,25.793,25.959,25.111,25.257,48.19
2022-10-13,24.102,26.159,23.97,25.754,62.45
2022-10-12,24.419,24.877,24.039,24.692,39.63
2022-10-11,24.38,24.838,24.068,24.409,48.13
2022-10-10,25.286,25.335,24.458,24.565,43.41
2022-10-07,25.51,25.613,25.005,25.072,57.22
2022-10-06,26.748,27.06,26.32,26.495,33.99
2022-10-05,26.675,27.138,26.212,26.943,30.12
2022-10-04,26.734,27.095,26.407,27.002,42.43
2022-10-03,25.666,26.563,25.408,26.29,44.10
2022-09-30,25.637,25.90,25.091,25.121,43.82
2022-09-29,26.105,26.105,25.525,25.715,41.83
2022-09-28,26.183,26.592,25.93,26.446,40.43
2022-09-27,26.709,26.90,25.949,26.212,44.12
2022-09-26,26.865,27.001,26.183,26.29,44.79
2022-09-23,27.197,27.197,26.505,26.826,43.49
2022-09-22,27.684,27.782,27.333,27.363,36.09
2022-09-21,28.415,28.844,27.743,27.753,39.98
2022-09-20,28.333,28.43,27.986,28.23,31.13
2022-09-19,28.289,28.757,28.172,28.698,33.15
2022-09-16,27.977,28.581,27.704,28.503,72.75
2022-09-15,28.415,28.669,27.986,28.113,39.92
2022-09-14,28.805,29.015,28.279,28.445,40.77
2022-09-13,30.053,30.151,28.513,28.552,71.42
2022-09-12,30.935,31.057,30.316,30.765,38.31
2022-09-09,30.404,30.706,30.292,30.667,34.08
2022-09-08,29.605,30.069,29.156,29.975,37.36
2022-09-07,29.653,30.009,29.293,29.878,37.33
2022-09-06,30.599,30.599,29.566,29.595,46.99
2022-09-02,31.398,31.559,30.277,30.433,34.89
2022-09-01,30.776,31.023,30.345,30.96,36.44
2022-08-31,31.569,31.569,30.969,31.116,44.07
2022-08-30,32.207,32.237,31.34,31.447,40.18
2022-08-29,32.388,32.568,31.983,32.11,32.98
2022-08-26,34.069,34.142,32.51,32.519,44.85
2022-08-25,33.016,34.05,32.968,34.011,29.80
2022-08-24,33.114,33.133,32.753,33.007,25.11
2022-08-23,33.124,33.523,33.055,33.094,30.69
2022-08-22,34.118,34.176,32.88,32.987,51.01
2022-08-19,34.898,35.117,34.303,34.488,31.43
2022-08-18,34.781,35.414,34.674,35.288,24.60
2022-08-17,34.908,35.166,34.381,34.878,29.18
2022-08-16,35.249,35.653,34.80,35.278,25.00
2022-08-15,35.19,35.512,34.81,35.424,25.40
2022-08-12,34.898,35.229,34.771,35.20,37.68
2022-08-11,34.742,35.375,34.591,34.693,35.57
2022-08-10,34.108,34.508,33.718,34.479,42.24
2022-08-09,34.332,34.41,33.533,33.65,48.20
2022-08-08,34.469,35.054,34.313,34.488,41.60
2022-08-05,34.454,34.791,34.293,34.498,40.21
2022-08-04,35.104,35.19,34.469,34.761,54.05
2022-08-03,34.829,35.311,34.028,35.244,59.51
2022-08-02,35.311,35.379,34.742,34.752,53.93
2022-08-01,34.79,36.373,34.79,35.668,52.51
2022-07-29,34.361,35.34,34.009,35.041,125.29
2022-07-28,38.689,38.718,37.676,38.322,56.66
2022-07-27,37.898,39.012,37.859,38.776,42.57
2022-07-26,37.734,38.182,37.521,37.599,35.93
2022-07-25,37.912,38.033,37.203,37.792,32.26
2022-07-22,38.959,39.094,37.579,37.83,41.35
2022-07-21,39.094,39.225,38.428,39.191,29.66
2022-07-20,38.805,39.249,38.178,39.143,36.39
2022-07-19,37.946,39.307,37.869,38.814,53.10
2022-07-18,37.734,37.965,37.179,37.357,30.81
2022-07-15,36.933,37.319,36.412,37.27,32.89
2022-07-14,35.697,36.822,35.022,36.392,36.69
2022-07-13,35.398,36.122,35.34,35.91,27.06
2022-07-12,36.334,36.383,35.697,35.91,30.55
2022-07-11,36.344,36.358,35.736,35.90,25.95
2022-07-08,36.344,36.807,36.083,36.662,22.57
2022-07-07,36.566,36.991,36.412,36.807,33.17
2022-07-06,35.533,36.117,35.186,35.697,26.26
2022-07-05,34.674,35.456,34.298,35.408,33.23
2022-07-01,35.794,35.90,34.626,35.07,40.60
2022-06-30,35.91,36.672,35.442,36.103,35.14
2022-06-29,36.228,36.281,35.726,35.987,25.44
2022-06-28,37.232,37.656,36.421,36.46,37.84
2022-06-27,37.512,37.695,37.126,37.28,29.59
2022-06-24,36.522,37.29,36.421,37.261,38.16
2022-06-23,36.296,36.305,35.62,36.103,30.16
2022-06-22,36.025,36.45,35.919,36.074,32.59
2022-06-21,36.054,36.696,36.021,36.412,34.00
2022-06-17,36.17,36.788,35.321,35.678,71.39
2022-06-16,36.378,36.469,35.639,36.035,45.58
2022-06-15,37.213,37.801,36.595,37.299,37.65
2022-06-14,36.682,36.865,36.228,36.605,31.35
2022-06-13,37.203,37.454,36.354,36.45,50.34
2022-06-10,38.457,38.679,37.811,37.811,43.08
2022-06-09,39.577,39.905,38.612,38.612,39.05
2022-06-08,40.774,40.783,39.596,39.789,59.65
2022-06-07,41.555,42.067,41.169,42.009,25.17
2022-06-06,42.279,42.501,41.575,41.825,25.44
2022-06-03,42.564,42.70,41.825,41.874,33.17
2022-06-02,42.646,43.312,42.404,43.273,28.73
2022-06-01,43.205,43.36,42.004,42.569,29.89
2022-05-31,42.704,43.186,42.12,42.868,41.11
2022-05-27,42.067,42.993,42.028,42.993,30.55
2022-05-26,40.696,42.154,40.609,41.961,28.83
2022-05-25,39.992,41.029,39.944,40.725,26.28
2022-05-24,40.241,40.426,39.664,40.214,29.84
2022-05-23,40.233,40.774,39.881,40.532,27.20
2022-05-20,40.769,40.812,38.901,40.195,44.80
2022-05-19,40.841,41.208,40.262,40.542,29.18
2022-05-18,42.443,42.443,40.745,40.87,35.22
2022-05-17,42.289,42.868,42.125,42.848,28.60
2022-05-16,41.903,42.086,41.29,41.575,25.07
2022-05-13,41.903,42.308,41.468,42.076,32.03
2022-05-12,41.237,41.406,40.542,41.343,42.33
2022-05-11,42.482,42.742,41.285,41.333,40.35
2022-05-10,42.80,43.172,41.98,42.472,42.77
2022-05-09,42.279,42.655,41.372,41.565,44.93
2022-05-06,42.935,43.572,42.308,42.752,40.92
2022-05-05,44.006,44.306,42.588,43.041,53.00
2022-05-04,43.144,44.657,42.522,44.561,44.63
2022-05-03,42.886,43.556,42.35,43.144,40.16
2022-05-02,41.861,43.077,41.66,43.049,45.45
2022-04-29,43.077,43.432,41.651,41.737,70.77
2022-04-28,43.838,45.26,43.605,44.849,41.10
2022-04-27,43.546,44.102,43.096,43.297,28.32
2022-04-26,44.705,44.849,43.575,43.585,35.36
2022-04-25,44.245,45.136,44.217,45.059,36.00
2022-04-22,45.433,45.624,44.523,44.561,28.22
2022-04-21,46.553,46.821,45.385,45.481,27.32
2022-04-20,46.304,46.677,45.935,46.065,22.79
2022-04-19,44.619,45.959,44.37,45.892,31.48
2022-04-18,43.594,44.896,43.585,44.657,25.59
2022-04-14,44.758,44.762,43.68,43.728,36.18
2022-04-13,44.762,45.259,44.571,45.011,22.17
2022-04-12,45.308,45.873,44.437,44.523,29.86
2022-04-11,44.906,45.284,44.552,44.59,30.35
2022-04-08,45.27,45.557,44.853,45.021,22.17
2022-04-07,45.409,45.873,44.782,45.538,24.12
2022-04-06,45.423,46.122,45.232,45.519,31.52
2022-04-05,46.754,46.898,45.978,46.084,25.78
2022-04-04,46.122,47.137,45.878,47.108,23.81
2022-04-01,47.711,47.779,45.313,46.065,46.60
2022-03-31,49.023,49.081,47.405,47.453,43.70
2022-03-30,50.029,50.278,49.042,49.243,24.62
2022-03-29,49.789,50.067,49.095,50.029,27.30
2022-03-28,49.176,49.378,48.41,49.32,22.93
2022-03-25,48.535,49.768,48.305,49.626,33.25
2022-03-24,46.591,49.454,46.524,49.425,51.68
2022-03-23,46.40,47.472,46.017,46.218,37.13
2022-03-22,45.481,46.409,45.385,46.333,27.92
2022-03-21,45.442,45.854,45.064,45.375,32.91
2022-03-18,44.829,45.576,44.379,45.433,46.24
2022-03-17,44.351,45.277,43.786,45.136,28.55
2022-03-16,43.374,44.648,43.345,44.648,38.89
2022-03-15,42.608,42.991,42.196,42.905,34.45
2022-03-14,43.949,44.025,42.417,42.512,35.99
2022-03-11,45.145,45.265,43.819,43.882,27.08
2022-03-10,45.279,45.299,44.193,44.676,36.46
2022-03-09,46.352,46.40,44.892,45.605,36.08
2022-03-08,45.662,46.649,44.896,45.481,44.81
2022-03-07,45.964,46.476,45.576,45.653,43.81
2022-03-04,45.356,46.213,45.356,46.026,38.32
2022-03-03,46.132,46.486,45.599,45.892,36.39
2022-03-02,45.50,46.907,45.461,46.792,46.94
2022-03-01,45.519,45.864,44.255,44.829,53.85
2022-02-28,45.002,45.787,44.858,45.672,41.95
2022-02-25,44.935,45.758,44.284,45.682,39.27
2022-02-24,42.034,44.801,41.77,44.734,72.74
2022-02-23,43.25,43.767,42.657,42.752,38.18
2022-02-22,42.79,43.475,41.986,42.79,57.09
2022-02-18,44.226,44.245,42.618,43.125,76.52
2022-02-17,45.825,46.208,45.366,45.548,32.03
2022-02-16,46.017,46.428,45.576,46.18,26.02
2022-02-15,45.672,46.40,45.184,46.381,35.86
2022-02-14,45.883,46.129,45.107,45.557,28.46
2022-02-11,46.869,47.022,45.481,45.605,37.21
2022-02-10,47.089,47.81,46.687,46.783,32.76
2022-02-09,47.233,47.846,46.749,47.788,35.22
2022-02-08,45.94,46.859,45.864,46.735,28.05
2022-02-07,46.084,46.591,45.921,46.132,27.56
2022-02-04,45.825,46.189,45.126,45.969,32.43
2022-02-03,46.80,47.213,45.849,45.878,42.15
2022-02-02,45.845,47.113,45.697,47.047,37.96
2022-02-01,46.348,46.591,45.954,46.515,35.39
2022-01-31,45.308,46.439,44.951,46.391,51.83
2022-01-28,45.336,45.802,43.996,45.355,61.95
2022-01-27,47.493,47.569,45.403,45.659,89.64
2022-01-26,48.586,50.097,48.225,49.118,54.90
2022-01-25,48.472,49.052,47.75,48.463,44.10
2022-01-24,48.919,49.536,47.398,49.356,64.27
2022-01-21,49.489,50.487,49.365,49.451,46.37
2022-01-20,51.18,51.394,49.356,49.451,28.58
2022-01-19,51.912,52.121,50.895,50.952,30.60
2022-01-18,52.558,52.881,51.959,52.036,35.33
2022-01-14,52.121,52.995,51.817,52.929,30.15
2022-01-13,53.214,53.413,52.045,52.207,29.61
2022-01-12,53.343,53.48,52.083,52.967,29.14
2022-01-11,52.739,53.29,52.007,53.128,39.80
2022-01-10,51.285,52.558,50.658,52.463,49.26
2022-01-07,51.494,51.684,50.506,50.781,30.72
2022-01-06,51.893,51.95,50.757,51.323,35.76
2022-01-05,51.492,53.375,51.152,51.19,59.11
2022-01-04,50.905,51.252,50.03,50.496,45.68
2022-01-03,49.08,50.582,49.033,50.563,33.89
2021-12-31,49.308,49.564,48.90,48.938,16.32
2021-12-30,49.337,49.546,49.08,49.166,18.36
2021-12-29,49.232,49.546,49.09,49.251,14.17
2021-12-28,49.346,49.527,49.061,49.185,19.29
2021-12-27,48.795,49.47,48.75,49.356,20.99
2021-12-23,48.539,49.156,48.51,48.757,25.20
2021-12-22,48.12,48.482,47.712,48.434,23.31
2021-12-21,47.455,48.311,47.455,48.244,31.96
2021-12-20,47.427,47.636,46.524,47.132,30.14
2021-12-17,48.073,48.482,47.522,48.101,50.19
2021-12-16,48.216,48.843,48.059,48.301,33.13
2021-12-15,47.389,48.254,46.871,48.149,32.59
2021-12-14,47.341,47.769,46.866,47.227,34.12
2021-12-13,48.32,48.482,47.465,47.512,35.73
2021-12-10,48.311,48.529,47.56,48.073,23.78
2021-12-09,48.748,49.018,47.921,47.968,31.69
2021-12-08,49.954,50.249,48.827,49.175,37.14
2021-12-07,51.94,52.264,49.612,49.954,91.73
2021-12-06,47.018,48.662,46.733,48.453,40.34
2021-12-03,47.204,47.569,46.334,46.80,32.22
2021-12-02,46.192,47.317,45.925,47.037,37.24
2021-12-01,47.36,47.803,46.106,46.182,35.13
2021-11-30,47.037,47.892,46.258,46.752,49.46
2021-11-29,46.847,47.636,46.296,47.512,31.48
2021-11-26,46.467,46.728,45.721,46.353,25.27
2021-11-24,46.424,47.303,46.211,47.284,26.04
2021-11-23,47.664,47.94,46.22,46.657,44.71
2021-11-22,47.085,48.32,46.952,47.351,33.39
2021-11-19,47.132,47.256,46.79,47.056,27.32
2021-11-18,47.74,47.74,46.534,47.208,30.67
2021-11-17,48.082,48.405,47.493,47.731,23.55
2021-11-16,47.864,48.605,47.835,48.092,30.93
2021-11-15,47.902,48.111,47.626,47.816,24.70
2021-11-12,48.078,48.368,47.683,47.807,23.88
2021-11-11,48.472,48.529,47.902,48.016,25.42
2021-11-10,48.439,48.831,48.187,48.235,25.04
2021-11-09,48.976,49.194,48.239,48.653,22.51
2021-11-08,48.90,49.403,48.52,48.985,31.65
2021-11-05,48.035,49.014,48.025,48.387,36.82
2021-11-04,47.74,47.845,47.256,47.807,24.81
2021-11-03,47.12,47.609,46.911,47.553,23.96
2021-11-02,46.817,47.086,46.458,47.053,27.19
2021-11-01,46.618,46.807,46.241,46.76,28.01
2021-10-29,45.392,46.505,45.222,46.241,42.30
2021-10-28,45.429,45.637,45.184,45.373,31.32
2021-10-27,45.788,46.067,45.175,45.194,41.08
2021-10-26,46.618,46.656,45.231,45.562,68.41
2021-10-25,47.02,47.251,46.534,46.628,43.18
2021-10-22,47.553,47.704,46.373,46.675,109.97
2021-10-21,51.832,52.913,51.743,52.847,38.39
2021-10-20,52.139,52.361,51.979,52.252,16.85
2021-10-19,51.55,52.111,51.309,52.101,18.39
2021-10-18,51.134,51.488,50.695,51.403,22.41
2021-10-15,51.148,51.422,50.78,51.394,25.23
2021-10-14,49.917,50.959,49.761,50.865,26.59
2021-10-13,49.431,49.618,48.945,49.317,18.53
2021-10-12,50.554,50.695,49.082,49.233,32.78
2021-10-11,50.78,51.346,50.412,50.431,14.40
2021-10-08,51.479,51.507,50.676,50.78,16.07
2021-10-07,51.261,51.889,51.073,51.129,20.70
2021-10-06,50.469,51.026,50.082,50.941,20.06
2021-10-05,50.535,51.28,50.464,50.912,18.13
2021-10-04,50.893,51.271,50.091,50.459,27.35
2021-10-01,50.624,51.059,50.063,50.827,19.90
2021-09-30,50.733,50.941,50.261,50.28,20.53
2021-09-29,50.959,51.007,50.186,50.478,20.51
2021-09-28,51.129,51.516,50.922,50.959,24.69
2021-09-27,50.903,51.78,50.79,51.582,13.90
2021-09-24,50.747,51.359,50.705,51.167,12.98
2021-09-23,50.724,51.243,50.582,50.988,16.47
2021-09-22,50.393,50.837,50.016,50.488,18.59
2021-09-21,50.205,50.44,49.855,49.893,17.97
2021-09-20,50.217,50.488,49.374,49.997,35.05
2021-09-17,51.516,51.516,50.643,51.205,35.36
2021-09-16,51.771,51.856,51.186,51.743,19.86
2021-09-15,51.592,52.045,51.356,52.016,18.80
2021-09-14,52.252,52.318,51.214,51.45,22.07
2021-09-13,51.535,52.361,51.346,51.894,22.64
2021-09-10,50.818,51.884,50.78,50.808,20.32
2021-09-09,50.639,50.856,50.337,50.393,13.50
2021-09-08,50.705,50.884,50.006,50.554,18.24
2021-09-07,50.554,50.912,50.431,50.629,13.91
2021-09-03,50.431,51.035,50.317,50.497,13.47
2021-09-02,50.771,50.856,50.346,50.705,15.88
2021-09-01,51.063,51.106,50.516,50.648,18.62
2021-08-31,51.375,51.431,50.639,51.016,22.35
2021-08-30,51.205,51.78,50.733,50.903,14.58
2021-08-27,50.356,50.903,49.94,50.856,16.52
2021-08-26,50.719,50.719,49.99,50.138,19.57
2021-08-25,51.035,51.177,50.706,50.78,15.05
2021-08-24,50.54,50.931,50.308,50.78,20.35
2021-08-23,49.629,50.521,49.525,50.233,23.98
2021-08-20,49.223,49.431,48.525,49.082,25.73
2021-08-19,49.123,49.704,48.676,49.487,23.00
2021-08-18,49.638,50.044,49.176,49.251,15.06
2021-08-17,50.176,50.184,49.28,49.723,22.01
2021-08-16,50.233,50.478,50.016,50.459,17.69
2021-08-13,50.488,50.54,50.068,50.478,15.28
2021-08-12,51.12,51.129,50.256,50.525,15.07
2021-08-11,51.205,51.299,50.808,51.092,18.59
2021-08-10,51.186,51.323,50.497,50.903,16.22
2021-08-09,51.035,51.346,50.799,51.007,14.67
2021-08-06,50.827,51.082,50.705,50.884,19.26
2021-08-05,50.95,50.978,50.563,50.856,15.31
2021-08-04,50.865,51.043,50.35,50.537,17.61
2021-08-03,50.528,50.781,49.937,50.687,16.38
2021-08-02,50.622,51.072,50.195,50.331,18.10
2021-07-30,50.303,50.537,49.928,50.368,16.47
2021-07-29,50.143,50.725,49.993,50.35,16.89
2021-07-28,49.721,50.556,49.637,50.35,28.48
2021-07-27,49.806,49.881,49.046,49.862,39.88
2021-07-26,49.515,51.137,49.468,50.922,32.88
2021-07-23,51.175,51.297,49.056,49.693,67.74
2021-07-22,52.562,53.012,52.206,52.469,36.69
2021-07-21,51.737,52.769,51.578,52.722,18.50
2021-07-20,51.489,52.094,50.883,51.794,19.87
2021-07-19,51.015,51.386,50.603,51.231,27.01
2021-07-16,52.553,53.378,51.475,51.54,25.26
2021-07-15,52.881,52.881,52.103,52.328,18.92
2021-07-14,53.603,53.87,52.819,52.994,16.26
2021-07-13,53.087,53.725,52.825,53.322,15.72
2021-07-12,52.75,53.214,52.609,53.191,15.39
2021-07-09,52.047,52.605,51.859,52.497,18.71
2021-07-08,51.859,52.244,51.372,51.934,19.16
2021-07-07,52.853,52.928,52.23,52.469,14.86
2021-07-06,53.369,53.453,52.225,52.591,26.19
2021-07-02,53.022,53.434,52.806,53.219,17.22
2021-07-01,52.628,53.106,52.384,52.516,24.87
2021-06-30,52.825,52.858,51.934,52.637,29.89
2021-06-29,53.959,54.222,52.394,53.209,26.36
2021-06-28,52.844,54.124,52.825,53.894,22.48
2021-06-25,52.525,52.886,52.267,52.422,21.10
2021-06-24,52.028,52.60,51.887,52.572,21.21
2021-06-23,52.384,52.482,51.784,51.812,20.29
2021-06-22,52.45,52.769,52.042,52.384,18.68
2021-06-21,52.272,52.544,51.915,52.384,19.25
2021-06-18,53.144,53.209,51.662,52.197,55.12
2021-06-17,53.491,54.288,53.162,53.613,21.50
2021-06-16,54.522,54.728,53.223,53.65,21.88
2021-06-15,54.578,54.77,54.194,54.372,20.81
2021-06-14,54.40,54.569,53.659,54.56,21.78
2021-06-11,53.884,54.325,53.397,54.241,18.12
2021-06-10,53.584,54.409,53.373,53.80,26.74
2021-06-09,53.781,53.889,53.416,53.444,13.90
2021-06-08,53.866,54.044,53.069,53.444,33.25
2021-06-07,53.828,53.856,53.233,53.528,17.36
2021-06-04,53.022,54.147,53.012,53.791,21.49
